Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
The Lazy Bee Gardens        [ÿproductÿdetailsÿ],Preroll 1.0g,1800,2.25,6.72,3.0x,412597
Cordus        [ÿproductÿdetailsÿ],Preroll 1.0g,1001,2.25,8.68,3.9x,418921
American Best Supply        [ÿproductÿdetailsÿ],Flower 1.0g,2317,2.25,5.79,2.6x,412624
Acme Acres LLC        [ÿproductÿdetailsÿ],Flower 1.0g,1623,2.25,7.44,3.3x,412892
The Happy Crowd        [ÿproductÿdetailsÿ],Flower 1.0g,1530,2.25,5.86,2.6x,416843
Natural Mystic Farms        [ÿproductÿdetailsÿ],Flower 1.0g,8176,2.27,8.47,3.7x,412155
Quincy Green        [ÿproductÿdetailsÿ],Flower 2.0g,1100,2.27,7.15,3.2x,412358
Alis Group        [ÿproductÿdetailsÿ],Infused,2238,2.27,10,4.4x,415700
Leef        [ÿproductÿdetailsÿ],Preroll 1.0g,1720,2.28,8.3,3.6x,413085
Olympic Mountain Man Farm        [ÿproductÿdetailsÿ],Preroll 1.0g,1038,2.29,8.35,3.7x,413001
Origens        [ÿproductÿdetailsÿ],Preroll 1.0g,1700,2.3,7.08,3.1x,412891
Northwest Finest        [ÿproductÿdetailsÿ],Preroll 1.0g,7230,2.31,6.98,3.0x,416499
Top Cut Farms        [ÿproductÿdetailsÿ],Flower 1.0g,3429,2.31,8.71,3.8x,412299
Platinum Enterprises        [ÿproductÿdetailsÿ],Preroll 1.0g,2025,2.32,6.02,2.6x,414115
C Block Group        [ÿproductÿdetailsÿ],Flower 1.0g,4201,2.32,7.98,3.4x,412728
Svin Garden        [ÿproductÿdetailsÿ],Preroll 1.0g,1680,2.33,7.56,3.2x,415820
Northwest Grown Products        [ÿproductÿdetailsÿ],Preroll 1.0g,3378,2.33,6.69,2.9x,416462
Quality Brand        [ÿproductÿdetailsÿ],Flower 1.0g,77681,2.33,6.8,2.9x,417229
Quincy Green        [ÿproductÿdetailsÿ],Infused,3536,2.34,8.26,3.5x,412358
THC Express        [ÿproductÿdetailsÿ],Edible,10592,2.35,6.63,2.8x,422094
Golden Tree        [ÿproductÿdetailsÿ],Preroll 1.0g,14800,2.36,7.81,3.3x,416107
Edgemont Group LLC        [ÿproductÿdetailsÿ],Preroll 1.0g,5463,2.37,7.46,3.1x,424980
Viscro Holdings        [ÿproductÿdetailsÿ],Flower 1.0g,5780,2.38,8.27,3.5x,412656
5th House Farms        [ÿproductÿdetailsÿ],Flower 1.0g,1422,2.38,9.26,3.9x,416057
Double Delicious        [ÿproductÿdetailsÿ],Preroll 1.0g,1075,2.39,8.11,3.4x,414462
Mountain High Garden        [ÿproductÿdetailsÿ],Flower 1.0g,2412,2.39,7.52,3.1x,415955
Subx        [ÿproductÿdetailsÿ],Preroll 1.0g,4599,2.4,7.16,3.0x,412111
Inflorescence        [ÿproductÿdetailsÿ],Preroll 1.0g,2055,2.4,7.19,3.0x,415156
The High Road        [ÿproductÿdetailsÿ],Preroll 1.0g,10632,2.4,7.38,3.1x,415739
Silica Phoenix        [ÿproductÿdetailsÿ],Flower 1.0g,5788,2.4,6.88,2.9x,412236
Quincy Green        [ÿproductÿdetailsÿ],Flower 1.0g,8521,2.4,8.57,3.6x,412358
Manastash Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,5900,2.4,7.45,3.1x,413123
Alliance 502        [ÿproductÿdetailsÿ],Preroll 1.0g,2322,2.41,7.07,2.9x,412949
Cascade Growers        [ÿproductÿdetailsÿ],Flower 1.0g,1268,2.41,7.48,3.1x,412180
Viscro Holdings        [ÿproductÿdetailsÿ],Preroll 1.0g,1286,2.42,5.32,2.2x,412656
Sky High Gardens        [ÿproductÿdetailsÿ],Preroll 0.5g,14374,2.44,6.86,2.8x,424091
Hazy Daze        [ÿproductÿdetailsÿ],Preroll 1.0g,1831,2.45,7.71,3.2x,412452
Cloud 9 Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,3285,2.46,8.01,3.3x,412704
Budco Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,3725,2.46,7.75,3.2x,412902
Freedom Farms        [ÿproductÿdetailsÿ],Flower 1.0g,1102,2.46,5.6,2.3x,413204
Monkey Grass Farms        [ÿproductÿdetailsÿ],Flower 1.0g,2260,2.47,7.5,3.0x,412618
Delta#nine        [ÿproductÿdetailsÿ],Flower 1.0g,1648,2.47,7.73,3.1x,412747
Kim Sue Grass Works        [ÿproductÿdetailsÿ],Flower 1.0g,1476,2.48,7.85,3.2x,413073
Jsm Nisqually        [ÿproductÿdetailsÿ],Flower 1.0g,3171,2.48,8.57,3.5x,416584
Northwest Wonderland        [ÿproductÿdetailsÿ],Edible,5261,2.48,5.65,2.3x,416140
Blissful Choice        [ÿproductÿdetailsÿ],Preroll 0.5g,2600,2.5,3.85,1.5x,416203
Bulldog Weed        [ÿproductÿdetailsÿ],Preroll 1.0g,4160,2.5,8.31,3.3x,412050
Northwest Harvesting Co        [ÿproductÿdetailsÿ],Preroll 1.0g,5250,2.5,5.29,2.1x,412435
Double Dutch        [ÿproductÿdetailsÿ],Preroll 1.0g,4700,2.5,8.14,3.3x,413084
Agrijuana        [ÿproductÿdetailsÿ],Preroll 1.0g,1275,2.5,9.53,3.8x,415998
Dandelion Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,6475,2.5,7.62,3.0x,417155
Fire House Productions        [ÿproductÿdetailsÿ],Preroll 1.0g,2000,2.5,9.58,3.8x,421103
Green Haven LLC        [ÿproductÿdetailsÿ],Preroll 1.0g,3025,2.5,5.24,2.1x,421941
