Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
M And R Distributing        [ÿproductÿdetailsÿ],Preroll 1.0g,3728,2.47,7.45,3.0x,412258
Manastash Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,8472,2.47,7.62,3.1x,413123
Peace & Love Productions        [ÿproductÿdetailsÿ],Flower 1.0g,4354,2.47,9.3,3.8x,413193
Curious Crow Cannabis        [ÿproductÿdetailsÿ],Flower 1.0g,7741,2.49,8.53,3.4x,416657
Sky High Gardens        [ÿproductÿdetailsÿ],Preroll 0.5g,8842,2.5,7.59,3.0x,424091
Northwest Harvesting Co        [ÿproductÿdetailsÿ],Preroll 1.0g,2500,2.5,5.39,2.2x,412435
Double Dutch        [ÿproductÿdetailsÿ],Preroll 1.0g,6538,2.5,7.7,3.1x,413084
Agrijuana        [ÿproductÿdetailsÿ],Preroll 1.0g,2975,2.5,9.26,3.7x,415998
Fire Four LLC        [ÿproductÿdetailsÿ],Preroll 1.0g,3625,2.5,7.26,2.9x,416795
Dandelion Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,6562,2.5,7.6,3.0x,417155
Green Haven LLC        [ÿproductÿdetailsÿ],Preroll 1.25g,1250,2.5,10.23,4.1x,421941
Northwest Harvesting Co        [ÿproductÿdetailsÿ],Flower 1.0g,4000,2.5,6.83,2.7x,412435
Alpha Budz        [ÿproductÿdetailsÿ],Flower 1.0g,3012,2.5,7.66,3.1x,413066
Botanimax        [ÿproductÿdetailsÿ],Flower 1.0g,9565,2.5,6.45,2.6x,415877
Double Delicious        [ÿproductÿdetailsÿ],Preroll 1.0g,3244,2.51,7.33,2.9x,414462
Poorman Enterprises        [ÿproductÿdetailsÿ],Flower 1.0g,1670,2.51,8.85,3.5x,415921
Silica Phoenix        [ÿproductÿdetailsÿ],Flower 1.0g,2834,2.52,7.87,3.1x,412236
Natural Mystic Farms        [ÿproductÿdetailsÿ],Flower 1.0g,14274,2.53,8.35,3.3x,412155
Jsm Nisqually        [ÿproductÿdetailsÿ],Flower 1.0g,4348,2.53,9.35,3.7x,416584
Okanogan High Country Products        [ÿproductÿdetailsÿ],Flower 1.0g,4017,2.54,9.41,3.7x,412540
Binx Buds        [ÿproductÿdetailsÿ],Flower 1.0g,8698,2.54,8.04,3.2x,425099
Chiliwist Creek Farm        [ÿproductÿdetailsÿ],Flower 1.0g,3779,2.57,7.83,3.0x,413657
5th House Farms        [ÿproductÿdetailsÿ],Flower 1.0g,4811,2.57,10.21,4.0x,416057
Green Zombie        [ÿproductÿdetailsÿ],Flower 1.0g,1406,2.58,9.02,3.5x,414114
Kush Farms        [ÿproductÿdetailsÿ],Flower 1.0g,23156,2.58,8.49,3.3x,414287
Big Ridge Farms        [ÿproductÿdetailsÿ],Edible,4494,2.58,6.78,2.6x,413139
Crop Circle Co        [ÿproductÿdetailsÿ],Flower 1.0g,2146,2.6,9.12,3.5x,412105
The Plant Factory        [ÿproductÿdetailsÿ],Flower 1.0g,5136,2.6,8.31,3.2x,416827
Kouchlock Productions        [ÿproductÿdetailsÿ],Flower 1.0g,4576,2.62,7.72,2.9x,412630
Wildfire Cannabis Company        [ÿproductÿdetailsÿ],Flower 1.0g,12105,2.62,8.92,3.4x,416902
Tucker Ranch        [ÿproductÿdetailsÿ],Preroll 1.0g,8650,2.64,8.57,3.3x,415922
