Business,Category,Wholesale Sales,Avg Wholesale Price,Avg Retail Price With Tax,Avg Markup With Tax,License
Hash Way Recreational        [ÿproductÿdetailsÿ],Flower 1.0g,1818,2.49,7.52,3.0x,421873
Green Valley Society        [ÿproductÿdetailsÿ],Preroll 1.0g,5712,2.5,8.88,3.6x,412436
Omg Sykes        [ÿproductÿdetailsÿ],Preroll 1.0g,26870,2.5,6.73,2.7x,412720
Double Dutch        [ÿproductÿdetailsÿ],Preroll 1.0g,2228,2.5,8.62,3.4x,413084
Canna Pharmz Company        [ÿproductÿdetailsÿ],Preroll 1.0g,1688,2.5,7.96,3.2x,413210
Northwest Finest        [ÿproductÿdetailsÿ],Preroll 1.0g,7312,2.5,8.24,3.3x,416499
Fire Four LLC        [ÿproductÿdetailsÿ],Preroll 1.0g,5660,2.5,7.85,3.1x,416795
Washington Gold        [ÿproductÿdetailsÿ],Flower 1.0g,2750,2.5,5.01,2.0x,412213
Weed Snobs        [ÿproductÿdetailsÿ],Flower 1.0g,1095,2.5,7.87,3.1x,412711
Methow Growers        [ÿproductÿdetailsÿ],Flower 1.0g,2600,2.5,9.57,3.8x,412875
Alpha Budz        [ÿproductÿdetailsÿ],Flower 1.0g,1058,2.5,7.82,3.1x,413066
Mountain High Garden        [ÿproductÿdetailsÿ],Flower 1.0g,2019,2.5,8.65,3.5x,415955
Cultivar Farms        [ÿproductÿdetailsÿ],Infused,6142,2.5,8.38,3.4x,417095
M And R Distributing        [ÿproductÿdetailsÿ],Preroll 1.0g,6999,2.51,7.43,3.0x,412258
Manastash Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,7628,2.51,8.02,3.2x,413123
Ag Grow        [ÿproductÿdetailsÿ],Preroll 0.75g,4950,2.52,7.96,3.2x,412557
Double Delicious        [ÿproductÿdetailsÿ],Preroll 1.0g,7025,2.52,7.19,2.9x,414462
Hitz Cannabis        [ÿproductÿdetailsÿ],Flower 1.0g,1666,2.52,8.26,3.3x,412854
Blacksmith Farms        [ÿproductÿdetailsÿ],Flower 1.0g,3942,2.52,7.56,3.0x,413622
The Lazy Bee Gardens        [ÿproductÿdetailsÿ],Preroll 1.25g,5703,2.53,8.77,3.5x,412597
Sweet Nirvana Bakery        [ÿproductÿdetailsÿ],Edible,9710,2.53,7.16,2.8x,413138
Lopez And Orr Co        [ÿproductÿdetailsÿ],Flower 1.0g,5407,2.54,8.59,3.4x,417295
Cannapothecary        [ÿproductÿdetailsÿ],Infused,2912,2.55,7.37,2.9x,412625
The Clone Zone        [ÿproductÿdetailsÿ],Preroll 1.0g,18126,2.56,8.23,3.2x,412598
Sunnyside Northwest        [ÿproductÿdetailsÿ],Flower 1.0g,3460,2.56,8.23,3.2x,416672
Ladera Farms        [ÿproductÿdetailsÿ],Flower 1.0g,6347,2.56,9,3.5x,417301
Tom's Hemp&cannabis        [ÿproductÿdetailsÿ],Infused,3162,2.56,8.06,3.2x,412648
Premium Cannabis Producers LLC        [ÿproductÿdetailsÿ],Preroll 0.75g,1674,2.57,6.86,2.7x,417051
Olympia Farm Works        [ÿproductÿdetailsÿ],Flower 1.0g,1106,2.57,7.89,3.1x,423537
Investment Funding Group        [ÿproductÿdetailsÿ],Infused,9227,2.57,8.15,3.2x,415790
Eco Ventures        [ÿproductÿdetailsÿ],Preroll 1.0g,3779,2.58,9.09,3.5x,416853
The Plant Factory        [ÿproductÿdetailsÿ],Flower 1.0g,2705,2.58,8.87,3.4x,416827
Forte Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,2125,2.59,5.89,2.3x,416431
Sticky Budz        [ÿproductÿdetailsÿ],Flower 1.0g,7303,2.59,8.25,3.2x,412076
Anchor Bakery        [ÿproductÿdetailsÿ],Flower 1.0g,4653,2.59,8.62,3.3x,415961
Inflorescence        [ÿproductÿdetailsÿ],Preroll 1.0g,1020,2.6,9.53,3.7x,415156
Sweetwater Farms        [ÿproductÿdetailsÿ],Preroll 1.0g,10117,2.61,8.8,3.4x,424256
Rainier Acres        [ÿproductÿdetailsÿ],Preroll 1.0g,6146,2.62,8.84,3.4x,416942
Agrijuana        [ÿproductÿdetailsÿ],Flower 1.0g,24313,2.62,8.89,3.4x,415998
Prohibition Brands        [ÿproductÿdetailsÿ],Infused,93266,2.62,8.06,3.1x,414042
Skagit Organics        [ÿproductÿdetailsÿ],Flower 1.0g,5203,2.63,8.17,3.1x,412843
Curious Crow Cannabis        [ÿproductÿdetailsÿ],Flower 1.0g,4493,2.63,9.77,3.7x,416657
Yield Farms        [ÿproductÿdetailsÿ],Flower 1.0g,1915,2.65,8.52,3.2x,412337
Greencrest Gardens        [ÿproductÿdetailsÿ],Flower 1.0g,1179,2.65,7.93,3.0x,417069
Orgrow        [ÿproductÿdetailsÿ],Flower 1.0g,23028,2.66,7.5,2.8x,412784
Lost Lake Gardens        [ÿproductÿdetailsÿ],Preroll 1.0g,1712,2.68,7.76,2.9x,412978
Blacksmith Farms        [ÿproductÿdetailsÿ],Concentrate 1.0g,2755,2.68,10.79,4.0x,413622
Solar Joes        [ÿproductÿdetailsÿ],Preroll 1.0g,5733,2.69,8.27,3.1x,415819
THC Farm        [ÿproductÿdetailsÿ],Preroll 1.0g,5061,2.69,7.24,2.7x,416100
Honey Creek Enterprises        [ÿproductÿdetailsÿ],Preroll 1.0g,2275,2.69,8.17,3.0x,416517
Thcbd        [ÿproductÿdetailsÿ],Preroll 1.0g,1500,2.7,7.62,2.8x,413131
Royal Cannabis Production And Processing        [ÿproductÿdetailsÿ],Flower 1.0g,2295,2.7,7.28,2.7x,414267
Double Delicious        [ÿproductÿdetailsÿ],Flower 1.0g,11212,2.7,9.29,3.4x,414462
Quantum Capital Advisors        [ÿproductÿdetailsÿ],Flower 1.0g,2422,2.71,9.33,3.4x,413156
Ce Group        [ÿproductÿdetailsÿ],Flower 1.0g,1689,2.72,15.21,5.6x,412623
Pure Green Cross WA        [ÿproductÿdetailsÿ],Preroll 1.0g,2613,2.73,9.03,3.3x,412855
Green Zombie        [ÿproductÿdetailsÿ],Flower 1.0g,1390,2.73,9.02,3.3x,414114
High Five Farms        [ÿproductÿdetailsÿ],Flower 1.0g,6628,2.73,9.28,3.4x,416746
